price,room_type,accommodates,bedrooms,beds,review_scores_rating,address_japanese,shiku,townpart,detailpart
1009100.0,Entire home apt,2,1.0,1.0,4.83, 中野区上鷺宮3丁目9-4, 中野区, 中野区上鷺宮3丁目,9-4
926400.0,Entire home apt,4,,1.0,4.52, 渋谷区富ヶ谷2丁目−14−６ 伸和ビル, 渋谷区, 渋谷区富ヶ谷2丁目,−14−６ 伸和ビル
1009100.0,Entire home apt,2,1.0,1.0,4.83, 中野区上鷺宮3丁目9番地 上鷺児童遊園, 中野区, 中野区上鷺宮3丁目,9番地 上鷺児童遊園
1009100.0,Entire home apt,2,1.0,1.0,4.84, 練馬区貫井1丁目47-1, 練馬区, 練馬区貫井1丁目,47-1
1000000.0,Entire home apt,5,1.0,4.0,4.94, 新宿区新宿5丁目10-14, 新宿区, 新宿区新宿5丁目,10-14
1068800.0,Entire home apt,2,1.0,2.0,4.88, 杉並区西荻南2丁目−17−14 スティーブズ, 杉並区, 杉並区西荻南2丁目,−17−14 スティーブズ
1100000.0,Entire home apt,4,,2.0,4.45, 杉並区阿佐谷南2丁目16-2, 杉並区, 杉並区阿佐谷南2丁目,16-2
950000.0,Entire home apt,2,,1.0,4.4, 杉並区阿佐ヶ谷北2丁目−15−18 第一横川ビル1階, 杉並区, 杉並区阿佐ヶ谷北2丁目,−15−18 第一横川ビル1階
1009100.0,Entire home apt,2,1.0,1.0,4.79, 練馬区貫井1丁目−47−９ フラットかなえ, 練馬区, 練馬区貫井1丁目,−47−９ フラットかなえ
1009100.0,Entire home apt,2,2.0,1.0,4.78,中野区上鷺宮３丁目−９−１９ 中野区立かみさぎ児童館,中野区,中野区上鷺宮３丁目,−９−１９ 中野区立かみさぎ児童館
1642900.0,Entire home apt,5,1.0,3.0,4.4, 新宿区百人町1丁目21-8 205, 新宿区, 新宿区百人町1丁目,21-8 205
950000.0,Private room,2,,2.0,4.98, 世田谷区羽根木1丁目−21−18 カレッジスクエア東松原, 世田谷区, 世田谷区羽根木1丁目,−21−18 カレッジスクエア東松原
500000.0,Entire home apt,3,1.0,4.0,4.86, 大田区千鳥2丁目−27−10 メゾン・ド・シュウ, 大田区, 大田区千鳥2丁目,−27−10 メゾン・ド・シュウ
530000.0,Private room,4,,,4.88, 文京区根津2丁目−22−３ ＨｏｐｉショップＳｕｎ＆Ｒａｉｎ, 文京区, 文京区根津2丁目,−22−３ ＨｏｐｉショップＳｕｎ＆Ｒａｉｎ
1500000.0,Entire home apt,2,1.0,1.0,4.94,東村山市多摩湖町３丁目−８−２５,東村山市,東村山市多摩湖町３丁目,−８−２５
917100.0,Entire home apt,3,2.0,2.0,4.69, 北区滝野川6丁目14-3, 北区, 北区滝野川6丁目,14-3
498000.0,Entire home apt,3,1.0,1.0,4.49, 町田市玉川学園7丁目1-25, 町田市, 町田市玉川学園7丁目,1-25
610700.0,Private room,3,1.0,1.0,4.58, 江東区扇橋2丁目−4−４ Y2ビル, 江東区, 江東区扇橋2丁目,−4−４ Y2ビル
825100.0,Private room,3,,1.0,4.72, 練馬区北町1丁目21-3, 練馬区, 練馬区北町1丁目,21-3
521300.0,Private room,4,2.0,4.0,4.82, 葛飾区金町4丁目8-12, 葛飾区, 葛飾区金町4丁目,8-12
2883300.0,Entire home apt,9,2.0,2.0,4.97,東村山市多摩湖町４丁目−２６−８,東村山市,東村山市多摩湖町４丁目,−２６−８
492900.0,Entire home apt,1,1.0,2.0,4.94, 板橋区南常盤台2丁目2-12, 板橋区, 板橋区南常盤台2丁目,2-12
350000.0,Private room,1,,1.0,4.3, 北区上十条2丁目5-13, 北区, 北区上十条2丁目,5-13
480000.0,Private room,2,,2.0,4.52, 北区上十条2丁目−5−9 イートンハウス, 北区, 北区上十条2丁目,−5−9 イートンハウス
1285700.0,Entire home apt,2,1.0,2.0,4.72, 墨田区向島5丁目−15−10 バームハイツ隅田公園, 墨田区, 墨田区向島5丁目,−15−10 バームハイツ隅田公園
1507100.0,Entire home apt,6,2.0,6.0,4.52, 豊島区南大塚1丁目51-5, 豊島区, 豊島区南大塚1丁目,51-5
1985700.0,Entire home apt,6,1.0,2.0,4.86, 杉並区和泉3丁目−50−３ グリーンパレス, 杉並区, 杉並区和泉3丁目,−50−３ グリーンパレス
1342900.0,Entire home apt,3,1.0,3.0,4.97, 世田谷区北沢2丁目11-17, 世田谷区, 世田谷区北沢2丁目,11-17
1097100.0,Entire home apt,5,1.0,5.0,4.51, 北区上十条3丁目−11−２ ドリームハウス２, 北区, 北区上十条3丁目,−11−２ ドリームハウス２
576700.0,Private room,2,,1.0,4.85, 町田市南大谷1426-17, 町田市,, 町田市南大谷1426-17
364300.0,Private room,3,,,4.97, 町田市能ヶ谷4丁目9-28, 町田市, 町田市能ヶ谷4丁目,9-28
400000.0,Private room,2,,1.0,4.64, 文京区小石川5丁目−41−３ 第一増田ビル, 文京区, 文京区小石川5丁目,−41−３ 第一増田ビル
998000.0,Private room,2,,1.0,4.94, 世田谷区代沢4丁目16-9, 世田谷区, 世田谷区代沢4丁目,16-9
728600.0,Entire home apt,2,1.0,1.0,4.74, 品川区西品川2丁目1-10, 品川区, 品川区西品川2丁目,1-10
500000.0,Private room,1,,1.0,4.87, 台東区根岸2丁目13-2, 台東区, 台東区根岸2丁目,13-2
1428600.0,Entire home apt,6,,4.0,4.84, 台東区西浅草3丁目20-5, 台東区, 台東区西浅草3丁目,20-5
1285700.0,Entire home apt,2,1.0,2.0,4.67, 墨田区向島5丁目38-3, 墨田区, 墨田区向島5丁目,38-3
510000.0,Entire home apt,3,2.0,3.0,4.9, 小平市鈴木町2丁目137, 小平市, 小平市鈴木町2丁目,137
1009100.0,Entire home apt,2,1.0,1.0,4.76, 練馬区貫井1丁目29-22, 練馬区, 練馬区貫井1丁目,29-22
2700000.0,Entire home apt,2,1.0,1.0,4.94, 港区白金台 3 丁目 13-27 白金台 3 丁目運動場, 港区, 港区白金台 3 丁目, 13-27 白金台 3 丁目運動場
2000000.0,Entire home apt,6,4.0,4.0,4.64, 足立区沖野2丁目20-21, 足立区, 足立区沖野2丁目,20-21
801400.0,Private room,2,,2.0,4.92,目黒区目黒本町3丁目−12−19 ダイアパレス目黒本町,目黒区,目黒区目黒本町3丁目,−12−19 ダイアパレス目黒本町
1285700.0,Entire home apt,2,1.0,2.0,4.74, 墨田区向島5丁目20-5, 墨田区, 墨田区向島5丁目,20-5
1285700.0,Entire home apt,2,1.0,4.0,4.74, 墨田区東向島1丁目−26−10 三浦医院, 墨田区, 墨田区東向島1丁目,−26−10 三浦医院
1285700.0,Entire home apt,2,1.0,2.0,4.77, 墨田区向島5丁目12-4, 墨田区, 墨田区向島5丁目,12-4
1242900.0,Entire home apt,5,2.0,2.0,4.92, 江東区海辺1-1, 江東区,, 江東区海辺1-1
1471400.0,Entire home apt,2,1.0,1.0,4.75,杉並区西荻北3丁目−5−６ 三周ハイツ,杉並区,杉並区西荻北3丁目,−5−６ 三周ハイツ
500000.0,Private room,2,,2.0,4.26, 北区上十条2丁目5-13, 北区, 北区上十条2丁目,5-13
1957300.0,Entire home apt,4,2.0,2.0,4.6, 新宿区大久保2丁目13-16, 新宿区, 新宿区大久保2丁目,13-16
550000.0,Private room,2,,2.0,4.9, 台東区根岸2丁目13-1, 台東区, 台東区根岸2丁目,13-1
780000.0,Entire home apt,2,2.0,2.0,4.76, 杉並区高円寺北2丁目2-4, 杉並区, 杉並区高円寺北2丁目,2-4
545000.0,Private room,2,1.0,1.0,4.58, 江東区扇橋2丁目−4−４ Y2ビル, 江東区, 江東区扇橋2丁目,−4−４ Y2ビル
1228600.0,Entire home apt,2,,1.0,4.38, 渋谷区西原1丁目25-4, 渋谷区, 渋谷区西原1丁目,25-4
753700.0,Private room,3,,1.0,4.82, 板橋区上板橋2丁目19-8, 板橋区, 板橋区上板橋2丁目,19-8
788000.0,Private room,3,,1.0,4.93, 練馬区錦1丁目40, 練馬区, 練馬区錦1丁目,40
825100.0,Private room,3,,2.0,5.0, 練馬区北町1丁目21-3, 練馬区, 練馬区北町1丁目,21-3
2316800.0,Entire home apt,5,2.0,2.0,4.88, 新宿区四谷3丁目9, 新宿区, 新宿区四谷3丁目,9
430000.0,Entire home apt,2,1.0,2.0,4.68, 江戸川区平井3丁目3-1, 江戸川区, 江戸川区平井3丁目,3-1
2500000.0,Entire home apt,5,2.0,2.0,4.9, 港区芝公園2丁目3-7, 港区, 港区芝公園2丁目,3-7
780000.0,Entire home apt,2,2.0,2.0,4.66, 杉並区高円寺南4丁目40-2, 杉並区, 杉並区高円寺南4丁目,40-2
2800000.0,Entire home apt,10,3.0,8.0,4.65, 豊島区池袋2丁目39番5号, 豊島区, 豊島区池袋2丁目,39番5号
2500000.0,Entire home apt,12,4.0,1.0,4.93, 葛飾区東新小岩5丁目21-7, 葛飾区, 葛飾区東新小岩5丁目,21-7
287300.0,Shared room,2,,1.0,4.5, 江東区扇橋2丁目−4−４ Y2ビル, 江東区, 江東区扇橋2丁目,−4−４ Y2ビル
2421400.0,Entire home apt,5,1.0,3.0,4.83, 港区麻布十番2丁目4-15, 港区, 港区麻布十番2丁目,4-15
1000000.0,Entire home apt,3,3.0,3.0,5.0, 町田市玉川学園1丁目1-26, 町田市, 町田市玉川学園1丁目,1-26
282800.0,Shared room,2,,1.0,4.46, 江東区扇橋2丁目−4−４ Y2ビル, 江東区, 江東区扇橋2丁目,−4−４ Y2ビル
442900.0,Entire home apt,3,,2.0,4.33,日野市南平１丁目−３６−１ ベストライフ日野,日野市,日野市南平１丁目,−３６−１ ベストライフ日野
470000.0,Entire home apt,2,1.0,2.0,4.66, 江戸川区平井3丁目1-10, 江戸川区, 江戸川区平井3丁目,1-10
640000.0,Entire home apt,3,1.0,4.0,4.62,日野市栄町２丁目−２８−１７ アムールオオカサ,日野市,日野市栄町２丁目,−２８−１７ アムールオオカサ
2982900.0,Entire home apt,4,1.0,2.0,4.97, 台東区蔵前3丁目21-5, 台東区, 台東区蔵前3丁目,21-5
539100.0,Private room,4,1.0,2.0,4.61, 江東区扇橋2丁目−4−４ Y2ビル, 江東区, 江東区扇橋2丁目,−4−４ Y2ビル
165500.0,Shared room,1,,,4.7, 江東区扇橋2丁目−4−４ Y2ビル, 江東区, 江東区扇橋2丁目,−4−４ Y2ビル
265000.0,Shared room,1,,1.0,4.58, 江東区扇橋2丁目−4−４ Y2ビル, 江東区, 江東区扇橋2丁目,−4−４ Y2ビル
1451400.0,Entire home apt,6,3.0,2.0,4.88, 府中市紅葉ヶ丘3丁目−２０−１０ テコミュ・ユー, 府中市, 府中市紅葉ヶ丘3丁目,−２０−１０ テコミュ・ユー
9780000.0,Private room,2,,2.0,4.66, 杉並区和泉4丁目17-37, 杉並区, 杉並区和泉4丁目,17-37
420000.0,Private room,3,1.0,1.0,4.41, 杉並区阿佐谷南3丁目17-8, 杉並区, 杉並区阿佐谷南3丁目,17-8
1400000.0,Private room,3,,,4.83, 足立区西新井6丁目18-11, 足立区, 足立区西新井6丁目,18-11
1328900.0,Entire home apt,3,,1.0,4.79,新宿区大久保１丁目−７ 日韓マンション,新宿区,新宿区大久保１丁目,−７ 日韓マンション
2528600.0,Entire home apt,10,3.0,10.0,4.7, 豊島区目白2丁目−28−11 滝ビル, 豊島区, 豊島区目白2丁目,−28−11 滝ビル
1621200.0,Entire home apt,5,1.0,3.0,4.67,新宿区百人町1丁目−11−３０ 成田マンション,新宿区,新宿区百人町1丁目,−11−３０ 成田マンション
4901500.0,Entire home apt,10,3.0,7.0,4.68, 新宿区百人町2丁目2-32, 新宿区, 新宿区百人町2丁目,2-32
492400.0,Shared room,2,,2.0,4.58,中央区日本橋小舟町12−７ 日本橋ＭＭビル,中央区,,中央区日本橋小舟町12−７ 日本橋ＭＭビル
515600.0,Shared room,2,,1.0,4.63,中央区日本橋本町3丁目−6−５ スカイコート三越前壱番館,中央区,中央区日本橋本町3丁目,−6−５ スカイコート三越前壱番館
458200.0,Shared room,2,,2.0,4.67,中央区日本橋本町１丁目−５−９ 日本橋ライフサイエンスビルディング 10 １階,中央区,中央区日本橋本町１丁目,−５−９ 日本橋ライフサイエンスビルディング 10 １階
400000.0,Private room,3,1.0,1.0,4.23, 杉並区阿佐谷南3丁目17-8, 杉並区, 杉並区阿佐谷南3丁目,17-8
288600.0,Entire home apt,2,1.0,2.0,4.87, 荒川区東日暮里4丁目7, 荒川区, 荒川区東日暮里4丁目,7
287100.0,Entire home apt,2,1.0,2.0,4.88, 荒川区東日暮里4丁目7, 荒川区, 荒川区東日暮里4丁目,7
519600.0,Private room,2,,1.0,4.81, 板橋区南常盤台 2 丁目 24-16, 板橋区, 板橋区南常盤台 2 丁目, 24-16
542300.0,Private room,2,,1.0,4.83, 板橋区常盤台 3 丁目 19-2, 板橋区, 板橋区常盤台 3 丁目, 19-2
400000.0,Private room,2,1.0,1.0,4.21, 杉並区阿佐谷南3丁目17番８号, 杉並区, 杉並区阿佐谷南3丁目,17番８号
3500000.0,Entire home apt,2,1.0,1.0,4.96, 渋谷区広尾4丁目3番地, 渋谷区, 渋谷区広尾4丁目,3番地
2594900.0,Entire home apt,3,,1.0,4.84, 世田谷区大原2丁目−8−７ 水越ハウス, 世田谷区, 世田谷区大原2丁目,−8−７ 水越ハウス
600000.0,Private room,1,,1.0,4.86, 練馬区北町1丁目7-6, 練馬区, 練馬区北町1丁目,7-6
1380000.0,Entire home apt,3,1.0,2.0,4.84, 港区南青山 4 丁目 12-10, 港区, 港区南青山 4 丁目, 12-10
