idx,listing_id,host_id,host_name,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
105,754808371687092765,200349143,Danyang,5.0,1.0,1.0,1 bath,Toshima Ku,"$9,396.00",3,1
106,756068803682115311,63012365,Maichin,5.0,1.0,2.0,1 bath,Sumida Ku,"$10,643.00",3,2
107,756690636978788342,218369769,Tatsunari,5.0,nan,1.0,1.5 shared baths,Minato Ku,"$6,600.00",2,2
108,29571169,38655722,"Top Edge Co., Ltd.",5.0,1.0,6.0,3.5 shared baths,Suginami Ku,"$22,286.00",6,1
109,29538888,115432704,ｼﾞｬﾝ,5.0,2.0,4.0,1 bath,Shinjuku Ku,"$26,543.00",4,2
110,756770134704366418,486133726,Stayme,5.0,1.0,2.0,1 bath,Nakano Ku,"$7,990.00",3,2
111,756792414200948137,486822882,Stayme,5.0,1.0,4.0,1 bath,Taito Ku,"$18,141.00",4,2
112,756833771210959751,486822882,Stayme,5.0,1.0,4.0,1 bath,Taito Ku,"$18,664.00",4,2
113,757578205429839123,29569793,Livmo Inc.,5.0,1.0,2.0,1 bath,Chiyoda Ku,"$18,571.00",4,1
114,758908933460324118,487473079,Akihiro,5.0,nan,nan,1 shared bath,Okutama Machi,"$14,143.00",5,1
115,758946180960468271,487473079,Akihiro,5.0,nan,5.0,1 shared bath,Okutama Machi,"$14,143.00",2,1
116,759091838654610154,228133407,Nomad,5.0,nan,1.0,2 shared baths,Sumida Ku,"$2,500.00",1,2
117,759125131744841942,487231216,Yu Cheng,5.0,1.0,1.0,1 private bath,Toshima Ku,"$13,994.00",2,1
118,759146093576772724,487231216,Yu Cheng,5.0,1.0,1.0,1 private bath,Toshima Ku,"$13,994.00",2,1
119,29341217,221051191,Heath,5.0,1.0,2.0,1 bath,Suginami Ku,"$9,600.00",3,7
120,759184285783188142,487231216,Yu Cheng,5.0,1.0,1.0,1 private bath,Toshima Ku,"$13,994.00",2,1
121,759645388014061386,486133052,Stayme,5.0,1.0,1.0,1 bath,Toshima Ku,"$6,120.00",2,2
122,760368915347092075,249538647,Hotel MONday Premium Toyosu,5.0,1.0,1.0,1 shared bath,Koto Ku,"$13,467.00",2,1
