user_id,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
220,5.0,1.0,3.0,1 private bath,Arakawa Ku,18429.00,5,1
221,5.0,1.0,3.0,1 private bath,Arakawa Ku,19371.00,5,1
222,5.0,1.0,2.0,1 bath,Toshima Ku,6011.00,2,2
223,5.0,1.0,2.0,1 private bath,Shinjuku Ku,16257.00,3,1
224,5.0,2.0,2.0,2 baths,Shinjuku Ku,20514.00,4,1
225,5.0,1.0,3.0,1 shared bath,Shinjuku Ku,29857.00,5,1
226,5.0,1.0,2.0,1 shared bath,Shinjuku Ku,28286.00,4,1
227,5.0,1.0,4.0,1 private bath,Edogawa Ku,27785.00,4,1
228,5.0,1.0,1.0,1 private bath,Taito Ku,11566.00,2,2
229,5.0,4.0,6.0,2 baths,Edogawa Ku,30000.00,16,30
230,5.0,1.0,2.0,1 bath,Sumida Ku,11343.00,3,1
231,5.0,1.0,2.0,1 bath,Shinjuku Ku,14571.00,4,1
232,5.0,1.0,2.0,1 bath,Kita Ku,6300.00,2,5
233,5.0,1.0,2.0,1 bath,Itabashi Ku,4931.00,3,5
234,5.0,1.0,1.0,1 bath,Itabashi Ku,5115.00,2,7
235,5.0,nan,2.0,1 private bath,Taito Ku,31429.00,4,1
236,5.0,2.0,4.0,1.5 baths,Taito Ku,16757.00,5,1
237,5.0,1.0,1.0,1 bath,Shinjuku Ku,16571.00,2,1
238,5.0,2.0,4.0,2 baths,Taito Ku,33500.00,6,1
239,5.0,2.0,4.0,nan,Taito Ku,33500.00,5,2
240,5.0,2.0,4.0,nan,Taito Ku,33500.00,6,2
241,5.0,1.0,1.0,1 bath,Chuo Ku,21000.00,2,1
242,5.0,nan,1.0,1 private bath,Fuchu Shi,7000.00,4,2
243,5.0,1.0,2.0,1 bath,Taito Ku,30000.00,4,7
244,5.0,1.0,3.0,1.5 baths,Taito Ku,14150.00,4,1
245,5.0,1.0,1.0,1 bath,Katsushika Ku,8286.00,2,1
246,5.0,1.0,2.0,1 private bath,Taito Ku,15360.00,4,2
